"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.567045497E1,6.505495376E1,2.545601359E1,1.468253473E1,1.240000010E0,3.372999878E2,3.790092468E0,2.500000000E0
7.667091471E1,6.505496523E1,2.545600361E1,1.485574694E1,1.220000029E0,3.402000122E2,3.790092468E0,2.500000000E0
7.766991893E1,6.505497572E1,2.545599490E1,1.467104952E1,1.200000048E0,3.392999878E2,3.790092468E0,2.500000000E0
7.867058091E1,6.505498690E1,2.545598630E1,1.473586356E1,1.250000000E0,3.393999939E2,3.790092468E0,2.500000000E0
7.967074075E1,6.505499808E1,2.545597744E1,1.472383431E1,1.220000029E0,3.417000122E2,3.790092468E0,2.500000000E0
8.067049835E1,6.505500867E1,2.545597241E1,1.459516752E1,1.179999948E0,3.466000061E2,3.790092468E0,2.500000000E0
8.167028388E1,6.505501887E1,2.545596802E1,1.448011179E1,1.190000057E0,3.466000061E2,3.790092468E0,2.500000000E0
8.267020179E1,6.505502952E1,2.545596172E1,1.443481886E1,1.200000048E0,3.426000061E2,3.790092468E0,2.500000000E0
8.366994294E1,6.505503975E1,2.545595357E1,1.442016555E1,1.259999990E0,3.416000061E2,3.790092468E0,2.500000000E0
8.467068346E1,6.505505004E1,2.545594632E1,1.443779990E1,1.200000048E0,3.440000000E2,3.790092468E0,2.500000000E0
8.567042314E1,6.505506032E1,2.545594072E1,1.459911120E1,1.210000038E0,3.465000000E2,3.790092468E0,2.500000000E0
8.667033794E1,6.505507043E1,2.545593682E1,1.446989539E1,1.230000019E0,3.488999939E2,3.790092468E0,2.500000000E0
8.766996913E1,6.505508029E1,2.545593285E1,1.432151464E1,1.200000048E0,3.501000061E2,3.790092468E0,2.500000000E0
8.867082158E1,6.505509052E1,2.545592933E1,1.444028468E1,1.230000019E0,3.508999939E2,3.790092468E0,2.500000000E0
8.967067471E1,6.505510085E1,2.545592626E1,1.439474808E1,1.230000019E0,3.525000000E2,3.790092468E0,2.500000000E0
9.066997741E1,6.505511101E1,2.545592651E1,1.409481737E1,1.179999948E0,3.581000061E2,3.790092468E0,2.500000000E0
9.167071023E1,6.505512081E1,2.545593086E1,1.390407913E1,1.250000000E0,5.699999809E0,3.790092468E0,2.500000000E0
9.267031616E1,6.505513079E1,2.545593954E1,1.374056297E1,1.240000010E0,1.269999981E1,3.790092468E0,2.500000000E0
9.367015377E1,6.505513989E1,2.545595507E1,1.357826859E1,1.230000019E0,2.000000000E1,3.790092468E0,2.500000000E0
9.466983252E1,6.505514696E1,2.545597669E1,1.349336823E1,1.200000048E0,3.500000000E1,3.790092468E0,2.500000000E0
9.566997142E1,6.505515017E1,2.545600552E1,1.327095795E1,1.169999957E0,5.829999924E1,3.790092468E0,2.500000000E0
9.667079705E1,6.505514843E1,2.545603931E1,1.261709262E1,1.240000010E0,7.680000305E1,3.790092468E0,2.500000000E0
9.766990845E1,6.505514488E1,2.545607628E1,1.211496173E1,1.289999962E0,8.350000000E1,3.790092468E0,2.500000000E0
9.866994725E1,6.505514059E1,2.545611339E1,1.151303867E1,1.309999943E0,8.440000153E1,3.790092468E0,2.500000000E0
9.967080455E1,6.505513707E1,2.545614971E1,1.133701854E1,1.330000043E0,8.530000305E1,3.790092468E0,2.500000000E0
1.006706798E2,6.505513238E1,2.545618672E1,1.110716594E1,1.299999952E0,8.990000153E1,3.790092468E0,2.500000000E0
1.016704222E2,6.505512837E1,2.545622153E1,1.098369711E1,1.269999981E0,9.190000153E1,3.790092468E0,2.500000000E0
1.026708444E2,6.505512506E1,2.545625633E1,1.048919529E1,1.289999962E0,9.180000305E1,3.790092468E0,2.500000000E0
